level_0,mid,value_col,iso_code,model_type,R2,MAE,MSE,RMSE,R2_train,MAE_train,MSE_train,RMSE_train,Year,lower,upper,transform,excess,country_name,continent,excess_category
161,55,44,TJK,SVR_RBF,,0.03465001052057026,0.03465001052057026,0.0012006232290756298,0.9871188205366593,0.05572830800875207,0.06417452746990322,0.004118369975985363,2020,0,0,log transform,0,Tajikistan,Asia,0. No Excess Deaths
160,148,121,SYR,SVR_RBF,,0.08809766461611002,0.08809766461611002,0.007761198510812603,0.8700921433349073,0.06439472141629479,0.07747365875258273,0.00600216780051164,2020,0,0,log transform,0,Syrian Arab Republic,Asia,0. No Excess Deaths
159,7,6,CHE,SVR_RBF,,0.14468142904382564,0.14468142904382564,0.020932715910163553,0.8124231642283749,0.05501403456274149,0.0671687428588235,0.0045116400172347535,2020,0,0,log transform,0,Switzerland,Europe,0. No Excess Deaths
158,7,5,SWE,SVR_RBF,,0.07916888082680185,0.07916888082680185,0.006267711691368353,0.8752010732398016,0.054421253951049874,0.06612520833205297,0.004372543176957408,2020,0,0,log transform,0,Sweden,Europe,0. No Excess Deaths
157,148,69,SWZ,SVR_RBF,,0.7714282864208375,0.7714282864208375,0.5951016010901897,0.9609233957874481,0.05979956045158466,0.0701158424986238,0.004916231369291819,2020,0,0,log transform,0,Eswatini,Africa,0. No Excess Deaths
154,1,1,VCT,SVR_RBF,,0.0013218571641593901,0.0013218571641593901,1.7473063624395048e-06,0.9642031319400796,0.06309456553575851,0.0753329106002272,0.005675047419501825,2020,0,0,log transform,0,Saint Vincent and the Grenadines,North America,0. No Excess Deaths
153,148,89,LKA,SVR_RBF,,0.1148003947773315,0.1148003947773315,0.013179130641031163,0.9315391955440775,0.06293789017889223,0.07349547260550354,0.005401584493506322,2020,0,0,log transform,0,Sri Lanka,Asia,0. No Excess Deaths
67,2981,2557,GIN,SVR_RBF,,0.05973201693612751,0.05973201693612751,0.0035679138472578236,0.7318591094102329,0.03748721253002673,0.04687792715735692,0.0021975400545704614,2020,0,0,log transform,0,Guinea,Africa,0. No Excess Deaths
152,20,12,ESP,SVR_RBF,,0.22452004145974325,0.22452004145974325,0.05040924901708483,0.8192770747653548,0.06712385900700804,0.07997055479695259,0.006395289634532396,2020,0,0,log transform,0,Spain,Europe,0. No Excess Deaths
149,8103,4519,SOM,SVR_RBF,,0.18818430973318634,0.18818430973318634,0.03541333442975581,0.8121280613987845,0.05952578799286619,0.06745760814156199,0.004550528896180531,2020,0,0,log transform,0,Somalia,Africa,0. No Excess Deaths
