mean,mean_se,mean_ci_lower,mean_ci_upper,year,pdq,geo
6.813731129338981,3.7750055600118815,-0.5851438097227639,14.212606068400726,2054-12-31,601,Western Europe
6.891285125691318,3.790031524233668,-0.5370401620781164,14.319610413460751,2055-12-31,601,Western Europe
6.962533773422555,3.801704835393635,-0.48867078380074425,14.413738330645854,2056-12-31,601,Western Europe
7.0274766907683635,3.810500173796217,-0.4409664129558388,14.495919794492565,2057-12-31,601,Western Europe
7.086007199460378,3.81687649792353,-0.39493326990711086,14.566947668827869,2058-12-31,601,Western Europe
7.138255460602582,3.8212755491581256,-0.351306990750861,14.627817911956026,2059-12-31,601,Western Europe
7.184192961048114,3.8241056392339994,-0.31091636492704566,14.679302287023274,2060-12-31,601,Western Europe
7.223972223286306,3.825751416155619,-0.27436276618181576,14.722307212754426,2061-12-31,601,Western Europe
7.2577008759823585,3.826559602731114,-0.24221813006652226,14.75761988203124,2062-12-31,601,Western Europe
7.285516061073931,3.826843343053695,-0.21495906578816992,14.785991187936032,2063-12-31,601,Western Europe
7.307640313931529,3.8268774684335356,-0.19290169744601826,14.808182325309076,2064-12-31,601,Western Europe
7.324224722860931,3.826898243273527,-0.17635800645478383,14.824807452176646,2065-12-31,601,Western Europe
7.335542718141571,3.8271030472103567,-0.16544141951422198,14.836526855797365,2066-12-31,601,Western Europe
7.341801878852171,3.8276515460203995,-0.1602572967168694,14.843861054421211,2067-12-31,601,Western Europe
7.343276268776359,3.82866557826491,-0.16077037347108458,14.847322911023802,2068-12-31,601,Western Europe
7.3402407158734935,3.830232741354368,-0.16687750958718794,14.847358941334175,2069-12-31,601,Western Europe
7.332959682245626,3.832407653911967,-0.1784212934974736,14.844340657988726,2070-12-31,601,Western Europe
7.321749720374506,3.8352149588652855,-0.19513347197071784,14.838632912719731,2071-12-31,601,Western Europe
7.306882083293992,3.8386539728261866,-0.21674145255692867,14.830505619144912,2072-12-31,601,Western Europe
7.288678620259602,3.8426996849030237,-0.24287436555373887,14.820231606072943,2073-12-31,601,Western Europe
7.267431689921352,3.847309552558103,-0.2731564704694396,14.808019850312144,2074-12-31,601,Western Europe
7.243446468385009,3.852424296623564,-0.3071664061642272,14.794059342934244,2075-12-31,601,Western Europe
7.217032195079154,3.8579735426998445,-0.344457001920941,14.778521392079249,2076-12-31,601,Western Europe
