index,mid,value_col,iso_code,model_type,R2,MAE,MSE,RMSE,R2_train,MAE_train,MSE_train,RMSE_train,Year,lower,upper,transform,excess,country_name,continent,excess_category
935,2116,2049,BFA,Bayesian_ARD,,0.7185371708391415,0.7185371708391415,0.5162956658775176,0.9576655807977921,0.5628791519402713,0.72814129007855,0.5301897383172551,2020,0,0,square root transform,0,Burkina Faso,Africa,0. No Excess Deaths
395,4,4,BHS,SVR_RBF,,0.18365207332268585,0.18365207332268585,0.03372808403572118,0.6660345544577888,0.05828110224292707,0.0700447570470475,0.004906267989779911,2020,0,0,square root transform,0,Bahamas,North America,0. No Excess Deaths
647,2500,2451,BEN,SVR_RBF,,0.7905366060310186,0.7905366060310186,0.624948125475042,0.9724303542076661,0.6823993447558219,0.8843915617785167,0.7821484345450439,2020,0,0,square root transform,0,Benin,Africa,0. No Excess Deaths
323,4,4,AUT,SVR_RBF,,0.1867300550677915,0.1867300550677915,0.034868113465620444,0.9406167971808924,0.060602800759098636,0.07909229998836033,0.006255591917448784,2020,0,0,square root transform,0,Austria,Europe,0. No Excess Deaths
1439,5041,4401,CIV,SVR_RBF,,4.890259120015088,4.890259120015088,23.914634260890743,0.9405164901991624,1.0551566626970694,1.3009277206463816,1.69241293434619,2020,0,0,square root transform,0,Côte d'Ivoire,Africa,0. No Excess Deaths
1151,2209,1888,CAF,SVR_RBF,,3.9659459410482754,3.9659459410482754,15.72872720731729,0.9641938799442304,0.5863866814811344,0.7664101320092244,0.5873844904463967,2020,0,0,square root transform,0,Central African Republic,Africa,0. No Excess Deaths
1115,49,41,CAN,SVR_RBF,,0.5247391889570849,0.5247391889570849,0.2753512164273393,0.9174948852851136,0.13404263973969166,0.1787717753508287,0.03195934766208716,2020,0,0,square root transform,0,Canada,North America,0. No Excess Deaths
287,16,9,AUS,SVR_RBF,,0.7793646685602744,0.7793646685602744,0.6074092866000664,0.9333603249660473,0.08343946168820524,0.1012476605286569,0.010251088762526148,2020,0,0,square root transform,0,Australia,Oceania,0. No Excess Deaths
863,4,3,BRN,SVR_RBF,,0.0024119954721175674,0.0024119954721175674,5.8177221575156466e-06,0.7983468590939331,0.052250369433276066,0.06013606806690205,0.0036163466825470765,2020,0,0,square root transform,0,Brunei Darussalam,Asia,0. No Excess Deaths
179,0,0,ATG,Bayesian_ridge,,0.0005956109876883442,0.0005956109876883442,3.547524486550849e-07,0.9156765627864448,0.024979916005134984,0.03003318230549645,0.000901992039395185,2020,0,0,square root transform,0,Antigua and Barbuda,North America,0. No Excess Deaths
899,4,4,BGR,SVR_RBF,,0.398879895932982,0.398879895932982,0.15910517137950655,0.9826961938493212,0.12282585110434519,0.14341323934959535,0.020567357220744327,2020,0,0,square root transform,0,Bulgaria,Europe,0. No Excess Deaths
2015,15129,10246,ETH,Bayesian_ARD,,21.293167331176562,21.293167331176562,453.3989749934848,0.6671696819668627,10.656985922961562,12.424243194703672,154.36181896114053,2020,0,0,square root transform,0,Ethiopia,Africa,0. No Excess Deaths
2087,4,4,FIN,Bayesian_ridge,,0.05891987488383643,0.05891987488383643,0.003471551656326939,0.0008757382240600631,0.039014385683987955,0.05035860996496773,0.002535989597603747,2020,0,0,square root transform,0,Finland,Europe,0. No Excess Deaths
2051,9,7,FJI,SVR_RBF,,0.06519821980490992,0.06519821980490992,0.004250807865729348,0.975422208010903,0.0445029604098373,0.05627402076152506,0.003166765412668553,2020,0,0,square root transform,0,Fiji,Oceania,0. No Excess Deaths
1187,8464,7764,TCD,Bayesian_ARD,,3.7366677606505334,3.7366677606505334,13.962685953485073,0.9546508141159106,1.527053364520085,1.9281762339362913,3.7178635891167393,2020,0,0,square root transform,0,Chad,Africa,0. No Excess Deaths
1079,4225,4119,CMR,SVR_RBF,,1.1017773559064494,1.1017773559064494,1.2139133419882069,0.8365936803108686,0.888548223101849,1.0954170843234938,1.1999385886277842,2020,0,0,square root transform,0,Cameroon,Africa,0. No Excess Deaths
503,1,1,BRB,Bayesian_ridge,,0.0925309870231028,0.0925309870231028,0.00856198355946962,0.8737978142405243,0.023521539664914676,0.03417829472825781,0.001168155830531656,2020,0,0,square root transform,0,Barbados,North America,0. No Excess Deaths
143,3136,2914,AGO,SVR_RBF,,1.7288354413099398,1.7288354413099398,2.9888719831293344,0.9035189174606507,2.582222011795763,3.315424568476829,10.992040069259767,2020,0,0,square root transform,0,Angola,Africa,0. No Excess Deaths
1367,676,503,COG,SVR_RBF,,3.948639572840605,3.948639572840605,15.591754476202837,0.7478544724270889,0.6713445980604758,1.0308705726150458,1.0626941374836723,2020,0,0,square root transform,0,Congo,Africa,0. No Excess Deaths
1979,0,1,EST,SVR_RBF,,0.46512087871370866,0.46512087871370866,0.21633743181541248,0.9927936480551206,0.06322487002890967,0.0716686388834668,0.0051363937994087705,2020,0,0,square root transform,1,Estonia,Europe,1. 0 to <100
2411,361,362,GTM,SVR_RBF,,0.08430181605212539,0.08430181605212539,0.007106796189686386,0.9819721967380715,0.3339324764230217,0.4452280699832957,0.19822803430105046,2020,0,0,square root transform,1,Guatemala,North America,1. 0 to <100
3455,1,2,LTU,SVR_RBF,,0.6319388154421475,0.6319388154421475,0.3993466664624245,0.9910861790942304,0.07984898379666719,0.09391929204533046,0.008820833418296075,2020,0,0,square root transform,1,Lithuania,Europe,1. 0 to <100
5723,4,5,SWE,SVR_RBF,,0.1085346632550519,0.1085346632550519,0.011779773127887513,0.8897920914109234,0.06529254996951278,0.0799911144608363,0.006398578392686614,2020,0,0,square root transform,1,Sweden,Europe,1. 0 to <100
539,0,1,BLR,SVR_RBF,,1.2137492261882563,1.2137492261882563,1.473187184072591,0.9898039730454533,0.20236377284176701,0.25772565862554836,0.06642251511397268,2020,0,0,square root transform,1,Belarus,Europe,1. 0 to <100
575,4,5,BEL,SVR_RBF,,0.12341824143733815,0.12341824143733815,0.015232062319485092,0.9526597509553935,0.046350538054384154,0.05706432993367516,0.003256337750779335,2020,0,0,square root transform,1,Belgium,Europe,1. 0 to <100
5363,25,26,SLB,SVR_RBF,,0.2938868263865029,0.2938868263865029,0.08636946672353048,0.9530276090259137,0.05687774376845086,0.066600420716019,0.004435616039550732,2020,0,0,square root transform,1,Solomon Islands,Oceania,1. 0 to <100
4751,1,2,QAT,SVR_RBF,,0.18213683169981532,0.18213683169981532,0.03317382546164685,0.8423887607709496,0.05965130348230753,0.06871994998704134,0.004722431526221463,2020,0,0,square root transform,1,Qatar,Asia,1. 0 to <100
