level_0,mid,value_col,iso_code,model_type,R2,MAE,MSE,RMSE,R2_train,MAE_train,MSE_train,RMSE_train,Year,lower,upper,transform,country_name,continent,excess,excess_category
10,5.0,4,BHS,Bayesian_ARD,,0.5918016605151237,0.5918016605151237,0.35022920538845775,0.354428377495562,0.35197481403366715,0.4270141051883708,0.18234104602982498,2020,,,normal - no transformation,Bahamas,North America,0.0,0. No Excess Deaths
11,3.0,3,BHR,POISSON,,0.3083788074370375,0.3083788074370375,0.09509748887628945,0.8078764984370154,0.27386573848001994,0.34660640760619293,0.12013600179367036,2020,,,normal - no transformation,Bahrain,Asia,0.0,0. No Excess Deaths
44,459.0,368,PRK,Bayesian_ARD,,91.00950600587566,91.00950600587566,8282.73018343352,0.00012087397874849248,121.00888804109613,151.8094701001654,23046.115212093013,2020,,,normal - no transformation,"Korea, Democratic People's Republic of",Asia,0.0,0. No Excess Deaths
29,4246.0,4119,CMR,Bayesian_ARD,,127.34434368961956,127.34434368961956,16216.58186973995,0.4585469050688872,202.88148900073472,240.74314377386457,57957.26127412362,2020,,,normal - no transformation,Cameroon,Africa,0.0,0. No Excess Deaths
15,6.0,5,BEL,Bayesian_ARD,,0.9423086566273469,0.9423086566273469,0.887945604354835,0.8345465800422347,0.5047183741087468,0.6247679625941411,0.39033500708403407,2020,,,normal - no transformation,Belgium,Europe,0.0,0. No Excess Deaths
40,2.0,2,HRV,Bayesian_ARD,,0.4828609562583779,0.4828609562583779,0.23315470307875513,0.9200763646275312,0.39040336178512525,0.5111126207070339,0.2612361110460123,2020,,,normal - no transformation,Croatia,Europe,0.0,0. No Excess Deaths
8,4.0,4,AUT,POISSON,,0.49609320450190353,0.49609320450190353,0.24610846755296747,0.7051310138536061,0.8119646052453776,0.8880112145897784,0.7885639172372134,2020,,,normal - no transformation,Austria,Europe,0.0,0. No Excess Deaths
39,5035.0,4401,CIV,Bayesian_ARD,,634.2868233503541,634.2868233503541,402319.7742758833,0.759265870096497,277.51579413378744,330.8314226610047,109449.43021990433,2020,,,normal - no transformation,Côte d'Ivoire,Africa,0.0,0. No Excess Deaths
37,701.0,503,COG,Bayesian_ARD,,198.07784505771087,198.07784505771087,39234.83270270652,9.768529841858165e-05,85.69518390766929,110.87937432763258,12294.235651287265,2020,,,normal - no transformation,Congo,Africa,0.0,0. No Excess Deaths
36,52.0,52,COM,POISSON,,0.26710529710817354,0.26710529710817354,0.07134523974324566,0.9720196764957938,2.332463178228993,2.972691412864959,8.836894236121065,2020,,,normal - no transformation,Comoros,Africa,0.0,0. No Excess Deaths
23,3.0,3,BRN,POISSON,,0.31990262698774075,0.31990262698774075,0.10233769075365759,0.6049940344394491,0.23793652195607307,0.2746892804029694,0.07545420076830116,2020,,,normal - no transformation,Brunei Darussalam,Asia,0.0,0. No Excess Deaths
32,8238.0,7764,TCD,Bayesian_ARD,,474.03380391796236,474.03380391796236,224708.04725693318,0.9581443515865323,204.94804250600865,277.6484601347408,77088.66741519274,2020,,,normal - no transformation,Chad,Africa,0.0,0. No Excess Deaths
31,2216.0,1888,CAF,Bayesian_ARD,,327.84979903102794,327.84979903102794,107485.49072468541,0.5318885605337955,204.78042347518723,226.50706763481858,51305.451688524285,2020,,,normal - no transformation,Central African Republic,Africa,0.0,0. No Excess Deaths
25,2093.0,2049,BFA,Bayesian_ARD,,43.520628643833334,43.520628643833334,1894.0451175544465,0.9586446404036975,58.690853880309234,74.6811041435784,5577.267316104002,2020,,,normal - no transformation,Burkina Faso,Africa,0.0,0. No Excess Deaths
