,mean,mean_se,mean_ci_lower,mean_ci_upper,year,pdq,geo
838,24.339593650927693,296.95589006107775,-557.6832558658206,606.3624431676759,2070-12-31,032,World
839,24.79518757410335,311.0507424197624,-584.8530649330762,634.4434400812829,2071-12-31,032,World
840,25.279031346394024,325.5403309642654,-612.7682928588156,663.3263555516037,2072-12-31,032,World
841,25.791124967799725,340.42828004225305,-641.4360432339319,693.0182931695314,2073-12-31,032,World
842,26.331468438320446,355.7181812697404,-670.8633554964612,723.5262923731021,2074-12-31,032,World
843,26.900061757956188,371.41359440330365,-701.0572066410863,754.8573301569987,2075-12-31,032,World
844,27.496904926706954,387.5180481741957,-732.0245128539742,787.0183227073882,2076-12-31,032,World
845,28.12199794457274,404.03504108665754,-763.772131077437,820.0161269665825,2077-12-31,032,World
846,28.775340811553548,420.96804218254044,-796.306860508564,853.857542131671,2078-12-31,032,World
847,29.456933527649376,438.32049177419856,-829.6354440356648,888.5493110909637,2079-12-31,032,World
848,30.16677609286023,456.09580214746495,-863.7645696160773,924.0981218017978,2080-12-31,032,World
849,30.9048685071861,474.2973582363955,-898.7008715986411,960.5106086130132,2081-12-31,032,World
850,31.671210770626995,492.9285182713422,-934.4509319938977,997.7933535351517,2082-12-31,032,World
851,32.46580288318291,511.99261440181164,-971.0212816948713,1035.9528874612372,2083-12-31,032,World
852,33.28864484485385,531.4929532954595,-1008.4184016510759,1074.9956913407837,2084-12-31,032,World
853,34.13973665563981,551.4328167144853,-1046.648723998228,1114.9281973095076,2085-12-31,032,World
854,35.01907831554079,571.8154620706003,-1085.7186331459652,1155.7567897770468,2086-12-31,032,World
855,35.92666982455679,592.6441229596726,-1125.6344668257289,1197.4878064748423,2087-12-31,032,World
856,36.86251118268782,613.9220096770728,-1166.4025171008254,1240.127539466201,2088-12-31,032,World
857,37.82660238993387,635.6523097146843,-1208.0290313405471,1283.682236120415,2089-12-31,032,World
858,38.81894344629494,657.8381882404794,-1250.5202131601252,1328.158100052715,2090-12-31,032,World
859,39.83953435177103,680.4827885615048,-1293.8822233281628,1373.561292031705,2091-12-31,032,World
860,40.88837510636214,703.5892325710697,-1338.1211806431104,1419.8979308558348,2092-12-31,032,World
861,41.96546571006827,727.1606211808836,-1383.2431627802373,1467.1740942003737,2093-12-31,032,World
